step,amount,isFraud,errorBalanceDest,errorBalanceOrig,type_encode
1.0,9839.64,0.0,9839.64,0.0,0.2757822963594302
1.0,1864.28,0.0,1864.28,0.0,0.2757822963594302
1.0,11668.14,0.0,11668.14,0.0,0.2757822963594302
1.0,7817.71,0.0,7817.71,0.0,0.2757822963594302
1.0,7107.77,0.0,7107.77,0.0,0.2757822963594302
1.0,7861.64,0.0,7861.64,0.0,0.2757822963594302
1.0,4024.36,0.0,4024.36,-1353.3600000000001,0.2757822963594302
1.0,5337.77,0.0,6886.980000000003,-7.275957614183426e-12,0.019481310118105444
1.0,9644.94,0.0,-137492.18,-5179.9400000000005,0.019481310118105444
1.0,3099.97,0.0,3099.97,0.0,0.2757822963594302
1.0,2560.74,0.0,2560.74,0.0,0.2757822963594302
1.0,11633.76,0.0,11633.76,-1506.7600000000002,0.2757822963594302
1.0,4098.78,0.0,4098.78,0.0,0.2757822963594302
1.0,229133.94,0.0,182703.5,-12944.400000000001,0.3109704127602581
1.0,1563.82,0.0,1563.82,-1113.82,0.2757822963594302
1.0,1157.86,0.0,1157.86,0.0,0.2757822963594302
1.0,671.64,0.0,671.64,0.0,0.2757822963594302
1.0,215310.3,0.0,237735.3,-12944.400000000001,0.2927066845245343
1.0,1373.43,0.0,1373.43,0.0,0.2757822963594302
1.0,9302.79,0.0,22238.09,-9.094947017729282e-13,0.019481310118105444
1.0,1065.41,0.0,11395.41,-1.1368683772161603e-13,0.019481310118105444
1.0,3876.41,0.0,3876.41,0.0,0.2757822963594302
1.0,311685.89,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,6061.13,0.0,6061.13,-5618.13,0.2757822963594302
1.0,9478.39,0.0,9478.39,0.0,0.2757822963594302
1.0,8009.09,0.0,8009.09,0.0,0.2757822963594302
1.0,8901.99,0.0,8901.99,-5943.08,0.2757822963594302
1.0,9920.52,0.0,9920.52,-9920.52,0.2757822963594302
1.0,3448.92,0.0,3448.92,-3448.92,0.2757822963594302
1.0,4206.84,0.0,4206.84,-4206.84,0.2757822963594302
1.0,5885.56,0.0,5885.56,-5885.56,0.2757822963594302
1.0,5307.88,0.0,5307.88,-5307.88,0.2757822963594302
1.0,5031.22,0.0,5031.22,-5031.22,0.2757822963594302
1.0,24213.67,0.0,24213.67,-12944.400000000001,0.2757822963594302
1.0,8603.42,0.0,8603.42,-8350.42,0.2757822963594302
1.0,2791.42,0.0,2791.42,0.0,0.2757822963594302
1.0,7413.54,0.0,7413.54,0.010000000009313226,0.2757822963594302
1.0,3295.19,0.0,3295.19,0.0,0.2757822963594302
1.0,1684.81,0.0,1684.81,-1387.81,0.2757822963594302
1.0,5758.59,0.0,198460.37,0.0,0.019481310118105444
1.0,110414.71,0.0,396799.55000000005,-12944.400000000001,0.3109704127602581
1.0,7823.46,0.0,7823.46,-6825.46,0.2757822963594302
1.0,5086.48,0.0,5086.48,-5086.48,0.2757822963594302
1.0,5281.48,0.0,5281.48,0.0,0.2757822963594302
1.0,13875.98,0.0,13875.98,4.547473508864641e-13,0.2757822963594302
1.0,56953.9,0.0,63100.719999999994,-12944.400000000001,0.3109704127602581
1.0,5346.89,0.0,-279819.44625,-5346.89,0.3109704127602581
1.0,2204.04,0.0,2204.04,-1618.04,0.2757822963594302
1.0,2641.47,0.0,2641.47,0.0,0.2757822963594302
1.0,23261.3,0.0,49003.3,-2849.7700000000004,0.3109704127602581
1.0,2330.64,0.0,2330.64,0.0,0.2757822963594302
1.0,1614.64,0.0,1614.64,0.0,0.2757822963594302
1.0,9164.71,0.0,9164.71,0.0,0.2757822963594302
1.0,2970.97,0.0,2970.97,0.0,0.2757822963594302
1.0,38.66,0.0,38.66,0.0,0.2757822963594302
1.0,2252.44,0.0,2252.44,-625.44,0.2757822963594302
1.0,62610.8,0.0,54744.51,-3.637978807091713e-12,0.2927066845245343
1.0,5529.13,0.0,15735.130000000001,0.0,0.019481310118105444
1.0,82940.31,0.0,165447.95,-12944.400000000001,0.3109704127602581
1.0,4510.22,0.0,15207.220000000001,0.0,0.019481310118105444
1.0,8727.74,0.0,21363.739999999998,0.0,0.019481310118105444
1.0,2599.46,0.0,2599.46,0.010000000009313226,0.2757822963594302
1.0,4874.49,0.0,257978.49,-4721.49,0.019481310118105444
1.0,6440.78,0.0,6440.78,-4248.78,0.2757822963594302
1.0,4910.14,0.0,4910.14,0.0,0.2757822963594302
1.0,6444.64,0.0,6444.64,0.0,0.2757822963594302
1.0,5149.66,0.0,33857.48,-367.65999999999985,0.019481310118105444
1.0,7292.16,0.0,7292.16,0.0,0.2757822963594302
1.0,47458.86,0.0,99578.86,-2.9103830456733704e-11,0.3109704127602581
1.0,136872.92,0.0,354678.92000000004,0.00999999999839929,0.3109704127602581
1.0,94253.33,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,2998.04,0.0,2998.04,0.0,0.2757822963594302
1.0,3454.08,0.0,3454.08,-9.094947017729282e-13,0.2757822963594302
1.0,4316.2,0.0,4316.2,0.0,0.2757822963594302
1.0,2131.84,0.0,2131.84,-1907.8400000000001,0.2757822963594302
1.0,12986.61,0.0,12986.61,0.0,0.2757822963594302
1.0,42712.39,0.0,76569.87,-12944.400000000001,0.2927066845245343
1.0,77957.68,0.0,150624.03,-12944.400000000001,0.2927066845245343
1.0,17231.46,0.0,41903.46,-12944.400000000001,0.2927066845245343
1.0,78766.03,0.0,-94977.01999999999,-12944.400000000001,0.2927066845245343
1.0,224606.64,0.0,466365.74374999997,-12944.400000000001,0.2927066845245343
1.0,125872.53,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,379856.23,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,1251490.30125,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,554026.99,0.0,466365.74374999997,-12944.400000000001,0.2927066845245343
1.0,147543.1,0.0,354244.74,-12944.400000000001,0.2927066845245343
1.0,761507.39,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,1251490.30125,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,358831.92,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,367768.4,0.0,466365.74374999997,-12944.400000000001,0.2927066845245343
1.0,209711.11,0.0,466365.74374999997,-12944.400000000001,0.2927066845245343
1.0,583848.46,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,1251490.30125,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,710544.77,0.0,466365.74374999997,-12944.400000000001,0.2927066845245343
1.0,581294.26,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,11996.58,0.0,52251.58,-11996.58,0.2927066845245343
1.0,2875.1,0.0,2875.1,0.0,0.2757822963594302
1.0,8586.98,0.0,8586.98,-4823.98,0.2757822963594302
1.0,871.75,0.0,871.75,0.0,0.2757822963594302
1.0,1035.36,0.0,1035.36,0.0,0.2757822963594302
1.0,1063.53,0.0,1063.53,0.0,0.2757822963594302
1.0,1019.9,0.0,1019.9,0.0,0.2757822963594302
1.0,4059.38,0.0,4059.38,0.0,0.2757822963594302
1.0,1876.44,0.0,1876.44,-1694.44,0.2757822963594302
1.0,28404.6,0.0,80148.6,-12944.400000000001,0.3109704127602581
1.0,75405.1,0.0,133151.87,-12944.400000000001,0.3109704127602581
1.0,50101.88,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,14121.82,0.0,55837.16,-12944.400000000001,0.3109704127602581
1.0,78292.91,0.0,103895.96,-12944.400000000001,0.3109704127602581
1.0,176149.9,0.0,389142.19,-12944.400000000001,0.3109704127602581
1.0,212228.35,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,85423.63,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,11648.5,0.0,-279819.44625,-11648.5,0.3109704127602581
1.0,6165.58,0.0,6165.58,0.0,0.2757822963594302
1.0,3705.83,0.0,3705.83,0.0,0.2757822963594302
1.0,419801.4,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,335416.51,0.0,283296.36,-12944.400000000001,0.3109704127602581
1.0,3372.29,0.0,3372.29,0.0,0.2757822963594302
1.0,661.43,0.0,661.43,0.0,0.2757822963594302
1.0,864.68,0.0,-30786.409999999996,0.0,0.019481310118105444
1.0,1203.44,0.0,1203.44,0.0,0.2757822963594302
1.0,330757.04,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,1915.43,0.0,1915.43,0.0,0.2757822963594302
1.0,8.73,0.0,8.73,0.0,0.2757822963594302
1.0,3058.8,0.0,5195.259999999998,0.0,0.019481310118105444
1.0,5154.97,0.0,5154.97,0.0,0.2757822963594302
1.0,5213.25,0.0,5213.25,0.0,0.2757822963594302
1.0,5392.75,0.0,5392.75,0.0,0.2757822963594302
1.0,25.12,0.0,25.12,0.0,0.2757822963594302
1.0,17150.89,0.0,17150.89,0.0,0.2757822963594302
1.0,679502.24,0.0,-279819.44625,-12944.400000000001,0.2927066845245343
1.0,177652.91,0.0,172813.46,-12944.400000000001,0.2927066845245343
1.0,5443.26,0.0,5443.26,0.0,0.2757822963594302
1.0,244.87,0.0,244.87,0.0,0.2757822963594302
1.0,8281.57,0.0,8281.57,0.0,0.2757822963594302
1.0,1175.59,0.0,1175.59,0.0,0.2757822963594302
1.0,1097.74,0.0,1097.74,0.0,0.2757822963594302
1.0,184986.8,0.0,140063.02,-12944.400000000001,0.2927066845245343
1.0,1718.29,0.0,1718.29,0.0,0.2757822963594302
1.0,3671.32,0.0,3671.32,0.0,0.2757822963594302
1.0,3580.26,0.0,5854.4100000000035,-1015.2600000000002,0.019481310118105444
1.0,8550.9,0.0,8550.9,0.0,0.2757822963594302
1.0,9753.55,0.0,9753.55,0.0,0.2757822963594302
1.0,3026.98,0.0,3026.98,0.0,0.2757822963594302
1.0,467177.03,0.0,466365.74374999997,-12944.400000000001,0.3109704127602581
1.0,3875.99,0.0,466365.74374999997,0.0,0.019481310118105444
1.0,2148.89,0.0,2148.89,0.0,0.2757822963594302
1.0,466.97,0.0,466.97,0.0,0.2757822963594302
1.0,154139.72,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,82685.93,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,83857.23,0.0,282317.6,-12944.400000000001,0.3109704127602581
1.0,99109.77,0.0,381427.37,-12944.400000000001,0.3109704127602581
1.0,187726.67,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,281339.92,0.0,466365.74374999997,-12944.400000000001,0.3109704127602581
1.0,186447.51,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,81029.86,0.0,177876.25,-12944.400000000001,0.3109704127602581
1.0,139054.95,0.0,44077.92999999999,-12944.400000000001,0.3109704127602581
1.0,154716.2,0.0,-279819.44625,-12944.400000000001,0.3109704127602581
1.0,53631.83,0.0,136875.83000000002,-12944.400000000001,0.3109704127602581
1.0,289645.52,0.0,-251395.78000000003,-12944.400000000001,0.3109704127602581
1.0,267148.82,0.0,-269683.97,-12944.400000000001,0.3109704127602581
